Date,Open,High,Low,Close,Volume
02/26/2020,109.943,111.3,105.6,106.88,6885393
02/27/2020,109.43,118.0,107.6,113.55,13511847
02/28/2020,121.07,121.93,97.37,105.0,21710989
03/02/2020,109.35,114.4999,102.5,113.11,10157444
03/03/2020,114.55,119.2,112.11,117.47,11033675
03/04/2020,118.51,119.97,113.11,116.8,12102566
03/05/2020,110.25,129.83,110.0,125.0,28149364
03/06/2020,119.65,122.0,107.0,114.32,22975681
03/09/2020,105.0,116.5,100.88,113.75,14571293
03/10/2020,113.8,113.8,105.0,108.49,10244041
03/11/2020,108.41,113.99,107.0,110.3,12594394
03/12/2020,106.25,113.8712,104.39,109.47,12097921
03/13/2020,113.0,113.8,104.16,107.47,9233528
03/16/2020,105.0,119.87,103.2,107.86,17210658
03/17/2020,107.33,113.83,102.0,111.1,18721520
03/18/2020,111.0,119.0,108.85,118.71,13594333
03/19/2020,122.95,132.23,119.1,123.77,16248378
03/20/2020,129.0,135.98,124.0,130.55,13872634
03/23/2020,141.9965,164.94,137.25,159.56,27681459
03/24/2020,154.0,155.0,133.88,135.18,22401325
03/25/2020,140.105,149.0,136.2,138.11,14743014
03/26/2020,140.51,146.65,138.2,141.15,9284038
03/27/2020,145.7,154.97,145.6,151.7,13271899
03/30/2020,160.76,161.69,147.2,150.88,15762176
03/31/2020,147.02,149.79,143.3568,146.12,10023701
04/01/2020,144.5,144.6,135.18,137.0,11453262
04/02/2020,125.3,133.4889,114.5,121.93,27313753
04/03/2020,124.3,128.48,120.11,128.2,12238129
04/06/2020,113.63,125.1747,108.5301,122.94,25378936
04/07/2020,118.005,118.44,109.5707,113.75,20166162
04/08/2020,115.02,125.8779,112.5,117.81,26243288
04/09/2020,117.8,125.5,114.0,124.51,15512973
04/13/2020,127.0,136.86,125.6035,135.92,15411680
04/14/2020,141.07,145.2,139.01,141.89,11679919
04/15/2020,141.71,152.57,140.0,151.56,14193277
04/16/2020,149.92,154.25,146.8,150.26,15138170
04/17/2020,147.91,153.7894,144.03,150.06,11328414
04/20/2020,153.3,155.0,148.2535,148.99,11218689
04/21/2020,151.42,154.75,138.36,143.27,9709142
04/22/2020,147.1,152.28,145.1,150.25,6552834
