"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ABR 2008",86.402,85.204,61.545,100.602,77.688,93.997,90.475,83.900,116.950,102.279,75.101,84.610,80.334
"MAY 2008",86.985,85.371,61.587,101.918,78.218,94.427,89.951,86.027,116.975,102.386,75.113,84.802,80.440
"JUN 2008",87.486,85.925,61.627,101.151,78.696,94.665,90.083,87.665,116.988,102.833,75.122,85.207,80.770
"JUL 2008",87.066,86.010,61.640,89.688,80.043,94.078,90.326,88.302,116.940,104.015,75.182,86.064,80.713
"AGO 2008",86.879,86.132,61.654,89.070,79.803,94.100,90.367,86.283,116.816,105.511,75.197,86.759,80.753
"SEP 2008",86.861,86.341,61.711,92.282,79.785,94.432,90.416,85.373,116.845,103.714,76.123,85.959,80.961
"OCT 2008",87.160,86.239,61.768,100.781,79.878,94.888,90.562,83.221,116.899,103.144,78.157,85.806,81.084
"NOV 2008",86.790,86.268,61.821,104.181,79.725,95.257,90.645,79.790,116.765,102.203,77.842,85.590,81.115
"DIC 2008",86.345,86.405,61.841,102.866,79.340,95.415,90.571,77.106,116.234,103.622,77.897,85.605,81.205
"ENE 2009",85.281,86.414,63.163,88.671,79.717,94.769,90.732,76.655,116.406,102.183,77.966,85.805,81.948
"FEB 2009",85.290,86.017,63.909,87.408,80.047,94.899,90.909,76.918,116.371,102.357,77.988,85.941,82.186
"MAR 2009",85.430,85.438,63.982,90.366,80.082,95.204,90.781,76.562,116.378,102.535,78.031,86.152,82.448
"ABR 2009",86.264,85.161,64.013,98.862,78.922,95.702,91.075,77.608,116.329,103.937,78.036,86.679,82.600
"MAY 2009",86.234,84.705,63.983,100.400,78.876,95.981,89.168,78.215,116.106,102.423,78.033,86.551,82.604
"JUN 2009",86.614,84.359,66.766,99.600,79.192,96.026,89.177,79.965,115.979,102.948,78.034,86.741,82.688
"JUL 2009",85.874,84.180,69.647,87.829,79.438,95.169,89.212,79.870,115.923,103.733,78.058,87.328,82.496
"AGO 2009",86.174,84.318,69.689,87.090,79.626,95.297,89.210,80.773,115.939,104.384,78.071,88.098,82.543
"SEP 2009",85.971,84.278,69.717,90.242,79.533,95.522,89.309,79.581,115.923,102.500,78.581,87.070,82.648
"OCT 2009",86.584,84.150,69.742,98.864,79.673,95.849,89.342,79.592,115.898,101.789,79.841,86.861,82.768
"NOV 2009",87.053,84.184,69.764,103.287,79.944,96.086,89.383,80.502,115.885,101.075,79.952,86.620,82.830
"DIC 2009",87.031,84.351,69.700,102.016,79.981,96.181,89.400,80.097,115.852,102.461,79.983,86.654,82.915
"ENE 2010",86.158,84.305,70.639,87.656,80.636,95.322,89.542,81.453,115.833,100.524,80.022,86.708,83.389
"FEB 2010",86.001,83.655,71.762,86.342,80.705,95.335,89.603,81.405,115.778,100.231,80.032,86.831,83.676
"MAR 2010",86.639,83.674,71.751,89.457,81.026,95.604,89.513,82.785,115.770,101.466,80.028,86.985,84.009
"ABR 2010",87.562,83.575,71.738,97.958,81.613,95.924,89.492,84.018,114.774,101.307,80.043,87.417,84.152
"MAY 2010",87.756,83.553,71.756,99.884,81.845,96.151,88.830,84.404,114.752,100.733,80.044,87.397,84.303
"JUN 2010",87.913,83.730,75.370,99.245,81.768,96.234,88.824,84.189,114.674,101.363,80.043,87.647,84.466
"JUL 2010",87.519,83.895,75.724,87.683,82.815,95.841,88.825,84.811,115.273,103.010,80.056,88.393,84.480
"AGO 2010",87.740,84.259,75.691,87.019,82.727,95.920,88.847,84.873,115.284,104.235,80.063,89.198,84.666
"SEP 2010",87.801,84.345,75.699,90.234,82.841,96.275,88.836,84.986,115.290,101.813,80.534,88.338,84.771
"OCT 2010",88.603,84.466,75.677,99.114,83.966,96.715,88.451,85.121,115.027,100.987,81.682,88.121,84.984
"NOV 2010",89.084,84.642,75.717,103.878,84.279,96.924,88.271,85.870,115.024,100.034,81.782,87.951,85.107
"DIC 2010",89.631,84.951,80.299,102.616,84.553,97.108,88.301,87.502,115.014,101.352,81.797,88.126,85.254
"ENE 2011",88.975,85.058,82.013,88.027,86.921,96.272,88.267,88.770,114.958,99.514,81.875,88.206,85.735
